layer,accuracy,majority_baseline,n_train_tokens,n_eval_tokens
0,0.833008193523215,0.16933281310963713,3259,2563
1,0.8369098712446352,0.16933281310963713,3259,2563
2,0.869293796332423,0.16933281310963713,3259,2563
3,0.8899726882559501,0.16933281310963713,3259,2563
4,0.9129925868123293,0.16933281310963713,3259,2563
5,0.9180647678501755,0.16933281310963713,3259,2563
6,0.9196254389387437,0.16933281310963713,3259,2563
7,0.9044088958252048,0.16933281310963713,3259,2563
8,0.907530238002341,0.16933281310963713,3259,2563
9,0.9040187280530628,0.16933281310963713,3259,2563
10,0.9008973858759266,0.16933281310963713,3259,2563
11,0.8950448692937963,0.16933281310963713,3259,2563
12,0.8595396020288724,0.16933281310963713,3259,2563
